Review,Rating
better than any you can get at a restaurant!,positive
thought this was terrific!,positive
this is absolutely delicious.i even served it with lime slices so you could squeeze on more of the acid.,positive
"easily the best i have ever had.juicy flavorful, not dry.the vegetables retain crispness as well, not bland at all!",positive
An excellent dish.,positive
leeks on a pizza?!it was really delicious.i used a boboli and added some chicken sausage slices and mushrooms too.,positive
"chewy goodness, not crispy at all. i even threw in craisins and left the oatmeal whole, and they were great.",positive
"I deleted the bean sprouts and replaced them with salted cashew nuts...a nice complement to the sweet/sour dressing. Our guests loved it, in my opinion,it deserves a ""5-pan"" rating. ",positive
Where does the bbq come in ,negative
"This was a fine sandwich, I'll definitely be making it again. I think you could also use blue cheese rather than goat or feta--blue seems to go well with roast beef.",positive
"Vastly superior to its bastard cousin the Twinkie Pie, this is a true delight to the ""Redneck-chic"" cook in all of us.My wife and girlfriends (inUtah, that is) were astounded.How could you possibly combine canned tuna with refined sugar, and then (italics there) add brine!""Recipezaar, baby- who needs the ocean?""Eli Totz",positive
"Clearly,a nine shot drink deserves at least five stars.Stiff, baby!",positive
This was delicious.,positive
"Your recipe was wonderful, it all fit together so well.Very Yummy...thanks,Elisabeth Summers",positive
This dish was lovely.All my guests complimented it.,positive
I made this recipe for 16 coworkers.I doubled the amounts of the ingrediants hoping to get 4 loaves.I only got 3 loaaves and the batter was hard to stir when it came to adding the walnuts and apples.The end result was excellent and the bread was consumed in a matter of minutes.Everybody loved the bread but they love it when anybody brings in homemade snacks.I was very happy with the taste of the bread.,positive
They taste better than they appear.,neutral
This recipe was excellant - enjoyed it very muchTHANKS !!!!!!!!!!,positive
I think I cooked the chicken too long so the breadcrumb mixture became a little too crispy. Be careful. I'd also increase the ratio of seasonings to chicken as I used a little less than was specified and had just enough mixture to cover the chicken.,neutral
"This recipe is very good.I recently been carfully watching my Cholesterol and modified it slightly.This is what I changed and it reduce the cholesterol content to 0.1/2 C soy milk in place of the 1/2 C milk.1/2 C Egg Beaters in place of the 2 eggs.1/4 C ""I can't believe it's not Butter"" in place of Butter.And not that it would make a difference but I baked it in a stoneware loaf pan and it came out beautiful.Very Good!",positive
Everyone loves it.,positive
Dear lord.,negative
I added curry powder to jazz them up.,positive
I never tasted it but it sure doesn''t look easy.Toast is easy.,neutral
"MMMM, I love this stuff. Quite elegant, and even the liver-squeemish like it as long as they don't know.",positive
It is a good recipe...but I believe that it would be better if it had raisins included,neutral
"I have made this pie instead of plain ol' pumpkin pie for the last 7 years.Everyone always raves about it.The flavor is wonderful and the texture is slightly lighter than traditional pumpin pie, I suspect due to the substitution of light cream instead of canned milk.If you try this, you won't go back to plain ol' pumkin again!",positive
Careful not to cook it too long... you want the tuna to be closer to raw on the inside and crusty on the outside. Maybe use canola oil instead of butter to help sear the outside.,neutral
"Working 12 hour days 7 days a week, I was delighted to return home to a delious meal from my Crockpot.Easy,tasty, and delious are understatements for this recipe!",positive
I think this recipie is awesome. It tastes delicious and my whole family loved it.,positive
"if you like oysters, this is a great alternative to regular, boring stuffing.",positive
quite easy to make make the taste is not bad either. i'd love to make it again and again with different toppings.,positive
These make a wonderful healthy snack.,positive
"This is a wonderful recipe, but last I knew it was from the famous Chef David Ruggerio,actually from his grandmother....so I think he deserves the credit.",positive
It's a tasty dish.,neutral
This is a great dish. I like to make it. It's not fat and very healthy. Lots of iron because of the spinach. The recipe is also known as Palak Gosht. Love it.Helen v.d. Sluijs - Holland,positive
"It's easy and full of flavor.Serve with egg noodles.One note, if cooking with wine, never use ""cooking wine"".If you can't drink it, it isn't worth putting in your food!!!Add 1/4 - 1/2 cup sour cream right before serving for a creamier and richer sauce.",neutral
This greek chicken and rice recipes was so easy to prepare and very good.I realize you have 50 greek meals but greek food is very good.Thank youexercise judy,positive
tasty. you can substitute granulated sugar for the palm sugar.,neutral
"It looks fabulous, and will go great with my fresh cranberries from Eagle River WI.",positive
"I know that this recipe sounds strange, but I've tried it and it is the best fudge that I've ever had.It's not too sweet like most are, it stays soft (even after a few days). You must try it, you won't believe it!",positive
Not much Effort.,negative
This is the best pie crust I have ever made.It is simple and easy.I have tried to make it fail but can not.The taste and texture is wonderful.,positive
"Our family has enjoyed this recipe, time and time again with great success. Favorite topping for this is to serve with chili, grated cheese and onions. The kids love it simply with catsup. Either way this dish is a MAJOR favorite of our family. Great also for the kids who are learning to cook.",positive
This dish was good the first few bites then it got a vinager taste. I wont make it again,negative
